c_path,module_name,py_fun_name,c_fun_name,lineno,lambda_len
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,run_workspace_transform,lambda expression,1821.0,222.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,fakeFp16FuseOps,lambda expression,1840.0,227.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,transform_optimizeForMKLDNN,lambda expression,1856.0,320.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,transform_addNNPACK,lambda expression,1869.0,272.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,transform_fuseConvBN,lambda expression,1882.0,303.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,transform_fuseNNPACKConvRelu,lambda expression,1896.0,281.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,get_gpu_memory_info,lambda expression,55.0,171.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,get_cuda_peer_access_pattern,lambda expression,61.0,106.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,get_device_properties,lambda expression,66.0,239.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,onnx_to_trt_op,lambda expression,75.0,327.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,transform_trt,lambda expression,96.0,756.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_hip.cc,caffe2_pybind11_state_hip,get_gpu_memory_info,lambda expression,33.0,168.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_hip.cc,caffe2_pybind11_state_hip,get_hip_peer_access_pattern,lambda expression,39.0,105.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\python\pybind_state_hip.cc,caffe2_pybind11_state_hip,get_device_properties,lambda expression,44.0,239.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveMinMaxOfOutput,lambda expression,26.0,171.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveHistogramOfOutput,lambda expression,39.0,205.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,DumpHistogramFile,lambda expression,65.0,129.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,AddHistogramObserver,lambda expression,74.0,484.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,DumpOutputColumnMaxHistogramFile,lambda expression,102.0,174.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,AddOutputColumnMaxHistogramObserver,lambda expression,111.0,581.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ChooseQuantizationParams,lambda expression,150.0,527.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,RegisterQuantizationParams,lambda expression,179.0,257.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,RegisterQuantizationParamsWithHistogram,lambda expression,195.0,262.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,AddRegisterQuantizationParamsWithHistogramObserver,lambda expression,212.0,520.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,AddScaleZeroOffsetArgumentsWithHistogram,lambda expression,239.0,349.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,get_fakefp16_mapping,lambda expression,283.0,90.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,freeze_quantization_params,lambda expression,286.0,307.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ChooseStaticQuantizationParams,lambda expression,298.0,1127.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveFp16FCPackedWeights,lambda expression,343.0,317.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveInt8FCPackedWeights,lambda expression,388.0,1015.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,CreateInt8QuantSchemeBlob,lambda expression,439.0,478.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,CreateInt8QuantParamsBlob,lambda expression,458.0,433.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveInt8QuantParamsBlob,lambda expression,475.0,389.0
F:\DLFs_dataset\pytorch\pytorch-1.7.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,ObserveInt8QuantSchemeBlob,lambda expression,489.0,403.0
