module_path,module_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.13.0\benchmarks\operator_benchmark\pt_extension\extension.cpp,benchmark_cpp_extension,25
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\contrib\gloo\py_export.cc,python,9
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\distributed\py_export.cc,python,10
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\python\mpi_python.cc,mpi_utils,10
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\python\pybind_state.cc,caffe2_pybind11_state,1970
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\python\pybind_state_gpu.cc,caffe2_pybind11_state_gpu,165
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\python\pybind_state_hip.cc,caffe2_pybind11_state_hip,86
F:\DLFs_dataset\pytorch\pytorch-1.13.0\caffe2\quantization\server\pybind.cc,dnnlowp_pybind11,20
F:\DLFs_dataset\pytorch\pytorch-1.13.0\functorch\csrc\init_dim_only.cpp,TORCH_EXTENSION_NAME,13
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cpp_c10d_extension.cpp,TORCH_EXTENSION_NAME,118
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cpp_frontend_extension.cpp,TORCH_EXTENSION_NAME,46
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cublas_extension.cpp,TORCH_EXTENSION_NAME,15
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cuda_dlink_extension.cpp,TORCH_EXTENSION_NAME,19
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cuda_extension.cpp,TORCH_EXTENSION_NAME,17
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cudnn_extension.cpp,TORCH_EXTENSION_NAME,77
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\cusolver_extension.cpp,TORCH_EXTENSION_NAME,15
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\dangling_impl_extension.cpp,TORCH_EXTENSION_NAME,9
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\extension.cpp,TORCH_EXTENSION_NAME,30
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\jit_extension.cpp,TORCH_EXTENSION_NAME,13
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\open_registration_extension.cpp,TORCH_EXTENSION_NAME,115
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\ort_extension.cpp,TORCH_EXTENSION_NAME,124
F:\DLFs_dataset\pytorch\pytorch-1.13.0\test\cpp_extensions\rng_extension.cpp,TORCH_EXTENSION_NAME,64
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\csrc\jit\codegen\cuda\examples\sinh_extension\main.cpp,TORCH_EXTENSION_NAME,44
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\utils\benchmark\utils\timeit_template.cpp,TORCH_EXTENSION_NAME,41
F:\DLFs_dataset\pytorch\pytorch-1.13.0\torch\utils\benchmark\utils\valgrind_wrapper\compat_bindings.cpp,callgrind_bindings,31
